Class,CNN_AUROC,CNN_AUROC_95CI_low,CNN_AUROC_95CI_high,Tympanometry_AUROC,Tympanometry_AUROC_95CI_low,Tympanometry_AUROC_95CI_high,Hybrid_AUROC,Hybrid_AUROC_95CI_low,Hybrid_AUROC_95CI_high,Hybrid_minus_CNN_AUROC,Hybrid_minus_CNN_AUROC_95CI_low,Hybrid_minus_CNN_AUROC_95CI_high,CNN_AUROC_display,Hybrid_AUROC_display,Hybrid_minus_CNN_AUROC_display
effusion,0.8748778103616812,0.7321519003694804,0.9646146616541353,0.7189638318670576,0.5587352212051869,0.8556039325842696,0.8313782991202346,0.7036695447409733,0.956557025492328,-0.043499511241446576,-0.24983963344788082,0.17418128654970724,87.49% (73.22-96.46),83.14% (70.37-95.66),-4.35% (-24.98-17.42)
normal,0.9325051759834369,0.8775445516748366,0.9685802618228793,0.7763975155279503,0.7016570227295512,0.847969492144684,0.8409937888198757,0.7837025027402265,0.9001931673359078,-0.09151138716356111,-0.14939722785665996,-0.027596813231141562,93.25% (87.75-96.86),84.10% (78.37-90.02),-9.15% (-14.94--2.76)
perforation,0.9154761904761904,0.8577727401468442,0.9650398104044082,0.8142857142857143,0.6834367604800541,0.9016592261904761,0.9261904761904761,0.8601726712042977,0.9819277108433735,0.010714285714285676,-0.07977284136546187,0.0839673913043478,91.55% (85.78-96.50),92.62% (86.02-98.19),1.07% (-7.98-8.40)
retraction,0.6958333333333333,0.5740085132890366,0.8260463150777552,0.6154761904761905,0.5163501129291125,0.7293316439657901,0.7464285714285716,0.6466747751732272,0.8568187833807674,0.05059523809523825,-0.10707087986835775,0.24117977528089887,69.58% (57.40-82.60),74.64% (64.67-85.68),5.06% (-10.71-24.12)
tube,0.948936170212766,0.8825513196480937,1.0,0.5,0.5,0.5,0.8946808510638299,0.7528845482474514,1.0,-0.05425531914893611,-0.20925151975683892,0.06936820320136859,94.89% (88.26-100.00),89.47% (75.29-100.00),-5.43% (-20.93-6.94)
tympanosclerosis,0.9153645833333333,0.8437581699346406,0.9999999999999999,0.5,0.5,0.5,0.8645833333333333,0.664868326118326,0.9895876288659794,-0.05078125,-0.2110067997367844,0.12489525319719463,91.54% (84.38-100.00),86.46% (66.49-98.96),-5.08% (-21.10-12.49)
